 	Identification	Name	Group of collection	Collection		Strain type		Synonyms	Reference équilibre	Date d'isolement	T ° of incubation	Bibliography	Sequence reference	Private Strain	Genotype	strain MOT	Wanted MTA	GMO strain	Restrictions on the dissemination	History of deposit	Isolated from	Properties	Classification	Clinical shape	Phenotype	Comments	Sequence reference	pathogenicity	Lieu	Classe emballage	Atmosphère incubation	Medium 
218	PCC 7716	Calothrix	Cyanobactéries	PCC	407			Calothrix fusca	DCC D0269 as Calothrix fusca		22°	Br. Phycol. J., 1977, 12, 297-313.		false		false	false	false		C. Sinclair & R. Rippka <- (l) Durham Culture Collection as Calothrix fusca D0269 <- (I) R. N. Singh	Source unknown	%G+C: 41.3 Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: II W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							Banaras, India	B	Aerobic	1547
219	PCC 7717	Nostoc	Cyanobactéries	PCC	407					01-01-1975	22°			false		false	false	false		R. Rippka as Nostoc G1	Winogradsky column enrichment, brackish water	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): nd W/D (transient stages): nd Motility: nd Gas vesicles: nd 							Marseille, France	B	Aerobic	1547
220	PCC 7718	Nostoc	Cyanobactéries	PCC	407					01-01-1975	22°			false		false	false	false		R. Rippka as Nostoc G5	Winogradsky column enrichment, brackish water	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): nd W/D (transient stages): nd Motility: nd Gas vesicles: nd 							Marseille, France	B	Aerobic	1547
221	PCC 7719	Synechocystis	Cyanobactéries	PCC	407					01-01-1975	22°			false		false	false	false		R. Rippka as Synechocystis GII	Winogradsky column enrichment, brackish water	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): > 3 W/D (transient stages): n/a Motility: nd Gas vesicles: - 							Marseille, France	B	Aerobic	1539
222	PCC 7803	Nostoc	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka <- (l) M. Herdman <- (l) S. M. Forster	Soil, surface of early fixed dunes, mature sand dune system	%G+C: 42.7 Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: II W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							Tentsmuir, Scotland (National Grid reference 505265)	B	Aerobic	1547
223	PCC 7804	Nodularia	Cyanobactéries	PCC	407			Nodularia harveyana, Nodularia sphaerocarpa	CCALA 114 as Nodularia sphaerocarpa;SAG 50.79 as Nodularia sphaerocarpa	01-01-1966	22°	Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		R. Rippka <- Algothèque du C.N.R.S., Gif-sur-Yvette, France <- R. Pourriot as Nodularia harveyana M93/1 	Water, thermal spring	%G+C: 44.7 Genome size (Gdal): nd Nutrition: obligate autotroph N2 fixation: aerobic W/D (vegetatives cells): 7 - 8 W/D (transient stages): n/a Motility: nd Gas vesicles: - 							Dax, France	B	Aerobic	1547
224	PCC 7805	Planktothrix agardhii	Cyanobactéries	PCC	407				CCAP 1459/27 (no longer available);NIVA-CYA 68	01-01-1972	22°C°	Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		R. Rippka <- (l) L. Van Liere as  Oscillatoria agardhii Gom. <- F. I. Kappers		%G+C: 40.9 Genome size (Gdal): 2.5 Nutrition: nd N2 fixation: nd Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: permanent, dispersed 							Veluwermeer; The Netherlands	B	Aerobic	1539
225	PCC 7806	Microcystis	Cyanobactéries	PCC	407			 		01-01-1972	22°	Kappers, F.I., 1984, PhD Thesis, University of Amsterdam; Z. Naturforsch. Sect. C. biosci., 1984, 39, 867-871.		false		false	false	false		R. Rippka <- (I) L. van Liere <- (I) F. I. Kappers as Microcystis aeruginosa RID-2	Water, Braakman reservoir	Produces B-cyclocitral %G+C: 41.6 Genome size (Gdal): 3.15 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): n/a Motility: - Gas vesicles: permanent, dispersed 				WGS:&nbsp;AM778843-AM778958			The Netherlands	B	Aerobic	1553
226	PCC 7806 mcyB-	Microcystis	Cyanobactéries	PCC	407					01-01-1972	22°	E. Dittmann, Molecular Microbiology (1997) 26(4), 779-787		false		false	false	false		 PCC <- E. Dittmann as PCC 7806 mutated on mcyB <- R. Rippka <- (I) L. van Liere <- (I) F. I. Kappers as Microcystis aeruginosa RID-2	Water, Braakman reservoir								The Netherlands	B	Aerobic	1560
227	PCC 7807	Nostoc	Cyanobactéries	PCC	407			Nostoc calcicola		01-01-1952	22°			false		false	false	false		R. Rippka <- (l) Algothèque du C.N.R.S., Gif-sur-Yvette, France: strain M94/2 <- H. Jacob as Nostoc calcicola	Soil, sample	%G+C: 47.2 Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): nd Motility: - Gas vesicles: nd 								B	Aerobic	1547
228	PCC 7808	Nostoc	Cyanobactéries	PCC	407			Nostoc verruscosum		01-01-1952	22°			false		false	false	false		R. Rippka <- (l) Algothèque du C.N.R.S., Gif-sur-Yvette, France: strain M94/14 <- H. Jacob as Nostoc verruscosum	Soil, sample	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): nd Motility: nd Gas vesicles: nd 								B	Aerobic	1547
229	PCC 7809	Synechocystis	Cyanobactéries	PCC	407			Synechocystis pevalekii	CCAP 1480/2 (no longer available);SAG 91.79 as Synechocystis pevalekii	01-01-1961	22°			false		false	false	false		R. Rippka <- (l) M. Lefort-Tran <- Algothèque du C.N.R.S., Gif-sur-Yvette, France as Synechocystis pevalekii GIF M 138/3 <- (I) R. Pourriot	Water, humus rich	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): > 3 W/D (transient stages): n/a Motility: nd Gas vesicles: - 							Rambouillet, France	B	Aerobic	1539
230	PCC 7810	Rivularia	Cyanobactéries	PCC	407			Calothrix pulvinata			22°			false		false	false	false		G. Guglielmi as Calothrix pulvinata 	Sea water, aquarium	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: marine N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							Roscoff, France	B	Aerobic	1548
231	PCC 7811	Planktothrix agardhii	Cyanobactéries	PCC	407			Oscillatoria agardhii, Aphanizomenon gracile	SAG 32.79 as Planktothrix agardhii	01-01-1964	22°C°			false		false	false	false		R. Rippka <- (l) M. Lefort-Tran <- Algothèque du C.N.R.S., Gif-sur-Yvette, France as Aphanizomenon gracile M41/b <- (I) M. Tassigny, 	Water, calcareous	%G+C: 40 Genome size (Gdal): 2.36 Nutrition: nd N2 fixation: nd Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: permanent, dispersed 							Vert le Petit, France	B	Aerobic	1539
232	PCC 7812	Nostoc	Cyanobactéries	PCC	407				SAG 71.79 as Nostoc punctiforme	01-01-1964	22°			false		false	false	false		R. Rippka <- (l) Algothèque du C.N.R.S., Gif-sur-Yvette, France: strain M94/b <- M. Lefèvre as Nostoc sp.2	Soil	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments PEC: + Pigments C-PE: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): nd Motility: nd Gas vesicles: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Lascaux, France	B	Aerobic	1547
233	PCC 7813	Microcystis	Cyanobactéries	PCC	407					01-01-1975	22°	FEMS Microbiol. Lett., 1982, 13, 409-411; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		R. Rippka <- (l) R. Stewart as Microcystis aeruginosa	Water	%G+C: 42.4 Genome size (Gdal): 3.12 Nutrition: chemoheterotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): n/a Motility: - Gas vesicles: - 							Loch Balgavies, Scotland	B	Aerobic	1553
234	PCC 7814	Scytonema	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka	Heppia symbiosis	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): nd Motility: - Gas vesicles: - Purified by treatment with ampicillin 								B	Aerobic	1547
235	PCC 7815	Rivularia	Cyanobactéries	PCC	407			Calothrix crustacea			22°			false		false	false	false		G. Guglielmi as Calothrix crustacea	Soil, carpet in supralittoral zone	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: marine N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							Pointe de Columbie, Cap Ferrat, France	B	Aerobic	1548
236	PCC 7816	Oscillatoria	Cyanobactéries	PCC	407					01-01-1977	22°			false		false	false	false		G. Guglielmi: strain 77 R8	Water, river	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent 							Roscoff, France	B	Aerobic	1539
237	PCC 7817	Oscillatoria	Cyanobactéries	PCC	407					01-01-1977	22°			false		false	false	false		G. Guglielmi: strain 77 R7	Soil	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Roscoff, France	B	Aerobic	1539
238	PCC 7818	Leptolyngbya	Cyanobactéries	PCC	407					01-01-1977	22°			false		false	false	false		G. Guglielmi: strain LPP 77 RM1	Rock scraping, habitat of Fucus spiralis, supralittoral zone	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: nd CCA: I W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: nd Gas vesicles: nd 							Roscoff, France	B	Aerobic	1534
239	PCC 7820	Microcystis	Cyanobactéries	PCC	407			 		01-01-1975	22°	FEMS Microbiol. Lett., 1982, 13, 409-411; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 1989, 3, 1728-1746; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		R. Rippka <- (I) R. Stewart as Microcystis aeruginosa		%G+C: 42.1 Genome size (Gdal): 3.25 Nutrition: chemoheterotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): n/a Motility: - Gas vesicles: permanent, dispersed 							Loch Balgavies, Scotland	B	Aerobic	1553
240	PCC 7821	Planktothrix rubescens	Cyanobactéries	PCC	407			Oscillatoria agardhii	NIVA-CYA 18;CCAP 1459/22 as Oscillatoria rubescens;CCAP 1459/37 as Oscillatoria agardhii;NIES 610 as Oscillatoria rubescens;SAG 3.82 as Planktothrix agardhii	01-01-1971	18°C°			false		false	false	false		R. Rippka <- (I) O. Skulberg as Oscillatoria agardhii Gom. var. rubra NIVA-CYA 18 <- R. Romstad	Water, lake	%G+C: 40 Genome size (Gdal): 3.05 Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: permanent, dispersed 							Gjersjfen lake, Akershus, Norway	B	Aerobic	1539
241	PCC 7822	Cyanothece	Cyanobactéries	PCC	407			Aphanothece sp.			22°C°	Arch. Mikrobiol., 1973, 92, 59-62.		false		false	false	false		R. Rippka <- (l) R. Haselkorn <- (l) P. K. Singh as Aphanothece sp.	Soil, rice fields of Central Rice Research Institute	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): 5 - 6 W/D (transient stages): n/a Motility: - Gas vesicles: - 				GCA_000147335.1			Cuttack, Orissa, India	B	Aerobic	1553
242	PCC 7823	Oscillatoria	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka <- (l) M. Herdman as Oscillatoria Mc Red	Soil, garden	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Broughty Ferry, Dundee, Scotland	B	Aerobic	1539
243	PCC 7901	Synechococcus	Cyanobactéries	PCC	407						22°			false		false	false	false		R. A. Lewis: strain SD-9	Polar bear, hair	%G+C: 47.4 Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Phages (res): AS-1M Motility: nd Gas vesicles: - 							San Diego Zoo, California, USA	B	Aerobic	1539
244	PCC 7902	Synechococcus	Cyanobactéries	PCC	407			 			22°			false		false	false	false		R. A. Lewin: strain SD-B	Polar bear, hair	%G+C: 46.4 Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Phages (res): AS-1M Motility: nd Gas vesicles: - 							San Diego Zoo, California, USA	B	Aerobic	1539
245	PCC 7903	Synechocystis	Cyanobactéries	PCC	407						22°			false		false	false	false		R. A. Lewin: strain Fre	Polar bear, hair	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): > 3 W/D (transient stages): n/a Motility: nd Gas vesicles: - 							Fresno Zoo, California, USA	B	Aerobic	1539
246	PCC 7904	Pseudanabaena	Cyanobactéries	PCC	407					01-01-1973	22°	Arch. Microbiol., 1980, 127, 253-257.		false		false	false	false		R. Rippka <- (l) depositor unknown:  strain AP 90 0131 (Rüdiger) <- (I) R. Wagenmann most likely Pseudanabaena W 1173 	Soil, humid greenhouse around the subtropical Altananthera philoxeroides	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 							Botanical Garden, Munich, Germany	B	Aerobic	1539
247	PCC 7905	Aphanizomenon	Cyanobactéries	PCC	407			Aphanizomenon flos-aquae	DCC D0654		22°	FEMS Microbiol. Lett., 1981, 10, 11-16.		false		false	false	false		R. Rippka <- (I) W. Zevenboom as Aphanizomenon flos-aquae L Ralfs <- (I) F. I. Kappers	Water, lake	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: - Gas vesicles: permanent, dispersed 							Brielse Meer, The Netherlands	B	Aerobic	1547
248	PCC 7906	Nostoc	Cyanobactéries	PCC	407			Nostoc muscorum	CCAP 1453/12 as Nostoc muscorum;SAG 1453-12a as Nostoc muscorum;UTEX 486 as Nostoc muscorum;IAM M-14;NIBB 1030;IRRI Ns 59 Sn		22°	Bot. Gaz., 1937, 98, 433-463; J. Phycol., 1987, 23 (Suppl.), 1-47.		false		false	false	false		R. Rippka <- (P) R. C. Starr as Nostoc muscorum UTEX 486 <- F. E. Allison as Nostoc muscorum H. M. S.z. 56.1.1	Fresh water	%G+C: nd Genome size (Gdal): nd Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 								B	Aerobic	1547
249	PCC 7907	Oscillatoria	Cyanobactéries	PCC	407			Oscillatoria prolifera, Microcoleus vaginatus	UTEX 1270 as Oscillatoria prolifera		22°	J. Phycol., 1987, 23 (Suppl.), 1-47.		false		false	false	false		R. Rippka <- (l) R. C. Starr as Oscillatoria prolifera UTEX 1270 <- (I) R. A. Lewin	Water, roadside spring	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							San Ysidro, Costa Rica	B	Aerobic	1539
250	PCC 7908	Tolypothrix	Cyanobactéries	PCC	407			Calothrix sp.	IRRI Cx 41 Sn as Calothrix sp.	01-01-1975	22°			false		false	false	false		S. Guétat & R. Rippka <- (l) P. A. Roger as Scytonema 5a	Soil, rice field	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							Fanaye 5, delta of the Senegal river, Senegal	B	Aerobic	1547
251	PCC 7909	Fischerella	Cyanobactéries	PCC	407			Calothrix sp.	IRRI Cx 40 Sn as Calothrix sp. (see Rippka & Herdman, 1992)	01-01-1975	37°			false		false	false	false		S. Guétat & R. Rippka <- (l) P. A. Roger as Scytonema 2a	Soil, rice field	%G+C: nd Genome size (Gdal): nd Nutrition: nd Thermophilie: nd N2 fixation: aerobic Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: - 							Fanaye 5, delta of the Senegal river, Senegal	B	Aerobic	1547
252	PCC 7911	Calothrix	Cyanobactéries	PCC	407			Scytonema hofmanni	IRRI Cx 37 Sn	01-01-1975	22°			false		false	false	false		S. Guétat & R. Rippka <- (l) P. A. Roger as Scytonema 3a	Soil, saline sand on shore of a hypersaline lake	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Retba, Senegal	B	Aerobic	1547
253	PCC 7912	Nostoc	Cyanobactéries	PCC	407				IRRI Ns 59 Sn as Nostoc sp.	01-01-1970	22°			false		false	false	false		S. Guétat & R. Rippka <- (l) P. A. Roger as Anabaena 3a	Soil, acidic rice field	pH of soil: 4.9 (rewetting), 6.6 (4 weeks of submersion) %G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Motility: nd Gas vesicles: nd 							delta river, Senegal	B	Aerobic	1547
254	PCC 7913	Calothrix	Cyanobactéries	PCC	407			Scytonema sp.	IRRI Cx 13 Sn	01-01-1972	22°			false		false	false	false		S. Guétat & R. Rippka < (l) P. A. Roger as Scytonema 11a	Soil, rice field	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							Vinding, Senegal	B	Aerobic	1547
255	PCC 7914	Calothrix	Cyanobactéries	PCC	407				IRRI Cx 10 Sn	01-01-1972	22°			false		false	false	false		S. Guétat & R. Rippka <- (l) P. A. Roger as Calothrix 10a	Soil, most probably upland sand planted with millet, experimental farm of IRAT	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: + W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							Bambey, Senegal	B	Aerobic	1547
256	PCC 7915	Calothrix	Cyanobactéries	PCC	407					01-01-1972	22°			false		false	false	false		S. Guétat & R. Rippka <- (l) P. A. Roger as Calothrix 8a		%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments PEC: nd Pigments C-PE: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Senegal	B	Aerobic	1547
257	PCC 7916	Calothrix	Cyanobactéries	PCC	407				IRRI Cx 14 Sn	01-01-1972	22°			false		false	false	false		S. Guétat & R. Rippka <- (l) P. A. Roger as Calothrix 12a	Soil, rice field	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: nd 							M'Bane, Senegal	B	Aerobic	1547
258	PCC 7917	Synechococcus	Cyanobactéries	PCC	407					01-01-1978	22°	J. Appl. Environ. Microbiol., 1979, 38, 1011-1014; Can. J. Microbiol., 1982, 28, 929-941.		false		false	false	false		T. Vaara as Synechococcus GC	Water, lake	purified by cycloserine treatment %G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Phages (res): AS-1M Motility: nd Gas vesicles: - 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Lake Garda, Italy	B	Aerobic	1539
259	PCC 7918	Synechococcus	Cyanobactéries	PCC	407					01-01-1977	22°	J. Appl. Environ. Microbiol., 1979, 38, 1011-1014; Can. J. Microbiol., 1982, 28, 929-941.		false		false	false	false		T. Vaara as Synechococcus G9C	Pond sample	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Phages (res): AS-1M Motility: nd Gas vesicles: - Purified by cycloserine treatment 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Gunnarskulla, Kirkkonummi, Finland	B	Aerobic	1539
260	PCC 7919	Synechocystis	Cyanobactéries	PCC	407			Synechocystis aquatilis	CCALA 190 as Synechocystis aquatilis	01-01-1978	22°	J. Appl. Environ. Microbiol., 1979, 38, 1011-1014; Can. J. Microbiol., 1982, 28, 929-941.		false		false	false	false		T. Vaara as Synechocystis CB3	Brackish water	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): > 3 W/D (transient stages): n/a Motility: nd Gas vesicles: - Purified by cycloserine treatment Designation: ATCC 35679 							Gulf of Finland, Helsinki, Finland	B	Aerobic	1539
261	PCC 7920	Synechococcus	Cyanobactéries	PCC	407					01-01-1977	22°	J. Appl. Environ. Microbiol., 1979, 38, 1011-1014; Can. J. Microbiol., 1982, 28, 929-941.		false		false	false	false		T. Vaara as Synechococcus CT1	Pond sample	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Phages (res): AS-1M Motility: - Gas vesicles: - Purified by cycloserine treatment 							Tolsa, Kirkkonummi, Finland	B	Aerobic	1539
262	PCC 7921	Synechocystis	Cyanobactéries	PCC	407					01-01-1977	22°	J. Appl. Environ. Microbiol., 1979, 38, 1011-1014; Can. J. Microbiol., 1982, 28, 929-941.		false		false	false	false		T. Vaara as Synechocystis CLII	Pasture silt	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: nd W/D (vegetatives cells): 2 - 3 W/D (transient stages): n/a Motility: nd Gas vesicles: - Purified by cycloserine treatment Designation: ATCC 35680 							Viikki, Helsinki, Finland	B	Aerobic	1539
263	PCC 7922	Synechococcus	Cyanobactéries	PCC	407					01-01-1977	22°	J. Appl. Environ. Microbiol., 1979, 38, 1011-1014; Can. J. Microbiol., 1982, 28, 929-941.		false		false	false	false		T. Vaara as Synechococcus CB2	Brackish water	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Phages (res): AS-1M Motility: nd Gas vesicles: - Purified by cycloserine treatment 							Gulf of Finland, Helsinki, Finland	B	Aerobic	1539
264	PCC 7923	Synechococcus	Cyanobactéries	PCC	407					01-01-1977	22°	J. Appl. Environ. Microbiol., 1979, 38, 1011-1014; Can. J. Microbiol., 1982, 28, 929-941.		false		false	false	false		T. Vaara as Synechococcus CB9	Brackish water	Purified by cycloserine treatment %G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Phages (res): AS-1M Motility: nd Gas vesicles: - 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Gulf of Finland, Hirsala, Kirkkonummi, Finland	B	Aerobic	1539
265	PCC 7926	Oscillatoria	Cyanobactéries	PCC	407					01-01-1978	22°			false		false	false	false		T. Vaara: strain HB9	Brackish water	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent 							Gulf of Finland, Helsinki, Finland	B	Aerobic	1539
266	PCC 7928	Oscillatoria	Cyanobactéries	PCC	407					01-01-1978	22°			false		false	false	false		T. Vaara: strain S	Mud sample	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Träskända, Espoo, Finland	B	Aerobic	1539
267	PCC 7929	Oscillatoria	Cyanobactéries	PCC	407					01-01-1977	22°			false		false	false	false		T. Vaara: strain LII	Pasture silt	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Viikki, Helsinki, Finland	B	Aerobic	1539
